Name
Shasta Dam
Oroville Dam
New Bullards Bar Dam
New Melones Dam
White Rock Powerplant
New Don Pedro Dam
Eastwood Powerhouse
Folsom Dam
Mammoth Pool Dam
Spring Creek Powerplant*
Big Creek No. 3 Powerplant
Holm Powerhouse
Pine Flat Dam
Judge Francis Carr Powerhouse*
Camino Powerplant
Jaybird Powerplant
Poe Dam
(Poe Powerhouse)
Trinity Dam
Belden Powerhouse
O'Shaughnessy Dam/Kirkwood Powerhouse
Caribou No. 1 Powerhouse
Parker Dam
Thermalito Power Plant
Keswick Dam
Rock Creek Powerhouse
Big Creek Powerplant 2A
Moccasin Powerplant
Big Creek Powerplant No. 4
New Exchequer Dam
Big Creek Powerplant No. 1
Loon Lake Powerplant
Big Creek Powerplant No. 8
Caribou No. 1 Powerhouse
Cresta Powerhouse
Big Creek Powerplant No. 2
Union Valley Dam
Lake Almanor Dam
(Butt Valley Powerhouse)
Robbs Peak Powerhouse
Jones Fork Powerhouse
Monticello Dam
Portal Powerplant
Indian Valley Dam
Slab Creek Dam
Division Creek Power Plant Unit 2

























































































































































































































































































































































































































































































































































































































































































































































































































































































































































































