INTERVALSTARTTIME_GMT,INTERVALENDTIME_GMT,LOAD_TYPE,OPR_DT,OPR_HR,OPR_INTERVAL,MARKET_RUN_ID,TAC_AREA_NAME,LABEL,XML_DATA_ITEM,POS,MW,EXECUTION_TYPE,GROUP
2016-04-15T17:00:00-00:00,2016-04-15T18:00:00-00:00,1,2016-04-15,11,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3391.17,DAM,2
2016-04-15T19:00:00-00:00,2016-04-15T20:00:00-00:00,1,2016-04-15,13,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3308.32,DAM,2
2016-04-15T20:00:00-00:00,2016-04-15T21:00:00-00:00,1,2016-04-15,14,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3304.86,DAM,2
2016-04-15T21:00:00-00:00,2016-04-15T22:00:00-00:00,1,2016-04-15,15,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3276.83,DAM,2
2016-04-16T00:00:00-00:00,2016-04-16T01:00:00-00:00,1,2016-04-15,18,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3209.66,DAM,2
2016-04-16T02:00:00-00:00,2016-04-16T03:00:00-00:00,1,2016-04-15,20,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3416.09,DAM,2
2016-04-16T05:00:00-00:00,2016-04-16T06:00:00-00:00,1,2016-04-15,23,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3343.53,DAM,2
2016-04-16T06:00:00-00:00,2016-04-16T07:00:00-00:00,1,2016-04-15,24,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3201.06,DAM,2
2016-04-15T11:00:00-00:00,2016-04-15T12:00:00-00:00,1,2016-04-15,5,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,2919.49,DAM,2
2016-04-15T16:00:00-00:00,2016-04-15T17:00:00-00:00,1,2016-04-15,10,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3384.04,DAM,2
2016-04-16T04:00:00-00:00,2016-04-16T05:00:00-00:00,1,2016-04-15,22,0,DAM,NEVP,Demand Forecast Day Ahead,SYS_FCST_DA_MW,2.8,3463.39,DAM,2
