Series Name,Period,Frequency,Value,Units,Series Name,Period,Frequency,Value,Units
Average retail price of electricity : Washington : all sectors : monthly,201410,M,7.1,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201410,M,15.36,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201409,M,7.11,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201409,M,17.3,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201408,M,7.07,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201408,M,17.25,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201407,M,7.09,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201407,M,17.05,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201406,M,6.8,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201406,M,15.99,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201405,M,6.96,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201405,M,14.47,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201404,M,7.14,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201404,M,11.74,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201403,M,7.29,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201403,M,13.59,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201402,M,7.43,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201402,M,13.65,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201401,M,7.29,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201401,M,13.86,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201312,M,7.33,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201312,M,13.23,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201311,M,7.22,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201311,M,14.02,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201310,M,7.06,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201310,M,14.64,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201309,M,7.03,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201309,M,15.66,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201308,M,7.01,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201308,M,15.66,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201307,M,7.03,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201307,M,15.78,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201306,M,6.86,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201306,M,15.84,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201305,M,6.86,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201305,M,13.8,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201304,M,7.05,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201304,M,12.98,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201303,M,7.12,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201303,M,12.84,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201302,M,7.24,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201302,M,12.98,cents per kilowatthour
Average retail price of electricity : Washington : all sectors : monthly,201301,M,7.19,cents per kilowatthour,Average retail price of electricity : California : all sectors : monthly,201301,M,13.03,cents per kilowatthour
